date,stock_code,open,high,low,close,adjfactor,volume,amt,mkt_cap_ard,turn
2024-01-02,000001.SZ,9.39,9.42,9.21,9.21,71.643514,115836645.0,1075742252.0,178728506603.58002,0.5969254321893772
2024-01-02,000002.SZ,10.44,10.48,10.15,10.15,181.703787,81110629.0,830765500.0,121096701130.65001,0.834734633704408
2024-01-02,000004.SZ,16.1,16.44,16.05,16.14,4.063862,2886700.0,46791154.0,2136617751.48,2.2858053609218723
2024-01-02,000005.SZ,1.08,1.12,1.08,1.12,9.267603,6302800.0,6967071.0,1185561263.0400002,0.5957577980303291
2024-01-02,000006.SZ,4.58,4.6,4.45,4.47,39.739675,26194719.0,117663239.0,6034477855.619999,1.9403676714030595
2024-01-02,000007.SZ,4.87,4.89,4.8,4.84,8.283528,727450.0,3522076.0,1676808532.96,0.23546030283331393
2024-01-02,000008.SZ,2.36,2.39,2.34,2.38,22.408293,21766519.0,51576370.0,6464978885.54,0.8134129942359221
2024-01-02,000009.SZ,11.76,11.78,11.66,11.69,8.931952,10407722.0,121760593.0,30151011250.85,0.40791715541278484
2024-01-02,000010.SZ,3.18,3.24,3.17,3.23,10.774549,14474700.0,46535465.0,3713376903.16,2.7720203142914555
2024-01-02,000011.SZ,8.87,8.92,8.76,8.83,4.242376,2651560.0,23417973.0,5262495382.36,0.5036435282236842
2024-01-02,000012.SZ,5.55,5.61,5.54,5.58,28.486084,9130997.0,51030362.0,17134461957.06,0.4660384760951263
2024-01-02,000014.SZ,10.99,11.88,10.9,11.32,6.627789,12014660.0,136678907.0,2739963255.6800003,4.9637874127712065
2024-01-02,000016.SZ,4.35,4.35,4.03,4.03,22.375459,91625140.0,378940305.0,9704019994.24,5.738788413183115
2024-01-02,000017.SZ,4.35,4.44,4.31,4.43,2.682736,6029100.0,26529772.0,3053089253.1899996,1.9899007199911718
2024-01-02,000019.SZ,7.51,7.66,7.51,7.63,4.602534,6674125.999999999,50787933.0,8793843988.02,1.6035230442033002
2024-01-02,000020.SZ,12.93,13.2,12.88,12.96,1.751825,3041900.0,39552606.0,3669769501.92,1.6790734605595832
2024-01-02,000021.SZ,16.16,16.17,15.71,15.81,14.451265,21544498.0,341978129.0,24672889766.280003,1.3810589788027232
2024-01-02,000023.SZ,6.33,6.34,6.26,6.31,2.668473,401600.0,2534961.0,875551874.4,0.289428424984707
2024-01-02,000025.SZ,15.92,16.14,15.81,16.05,2.746803,2834825.0,45391796.0,6918486036.0,0.7217366274187434
2024-01-02,000026.SZ,10.96,11.12,10.95,11.03,8.367081,4892792.0,54049371.0,4579876269.1,1.349536874998333
2024-01-02,000027.SZ,6.29,6.42,6.28,6.31,17.681253,42735961.0,271131235.0,30019130369.96,0.8983068816005789
2024-01-02,000028.SZ,29.02,30.03,28.81,29.57,5.486071,5932667.0,175504630.0,16457629326.89,1.2410042744318237
2024-01-02,000029.SZ,11.84,11.84,11.51,11.52,2.291226,2352893.0,27295430.0,11654323200.0,0.2638778233855954
2024-01-02,000030.SZ,5.35,5.42,5.3,5.38,3.933393,11210621.0,60302586.0,9370039797.300001,0.6624842407733117
2024-01-02,000031.SZ,2.96,2.98,2.92,2.92,14.651032,16862164.0,49522986.0,12516034949.880001,0.4212503479584717
2024-01-02,000032.SZ,21.06,21.18,20.46,20.52,4.199718,20324531.0,420912518.0,23350923481.68,3.1522443805395275
2024-01-02,000034.SZ,29.82,29.82,29.14,29.25,3.171401,14214626.999999998,417908079.0,19585258290.0,2.5837528279271487
2024-01-02,000035.SZ,4.94,5.06,4.88,4.95,4.693287,26215500.0,130133633.0,12492697620.15,1.0685613308445978
2024-01-02,000036.SZ,3.86,3.9,3.72,3.72,12.839916,18273195.0,68843090.0,5520234573.0,1.234125447394826
2024-01-02,000037.SZ,8.18,8.5,8.17,8.42,5.668325,8239100.999999999,68966507.0,5075261058.32,2.431165171331041
2024-01-02,000039.SZ,7.65,7.93,7.64,7.83,50.773587,23400538.0,182813470.0,42223434614.55,1.0167926214842662
2024-01-02,000040.SZ,3.69,3.77,3.68,3.75,4.348861,16161841.0,60547566.0,5575777012.499999,1.5242121194879754
2024-01-02,000042.SZ,5.77,5.77,5.59,5.62,13.497855,6578132.000000001,37138248.0,3736351001.1800003,0.9906983798025433
2024-01-02,000045.SZ,11.71,12.05,11.66,11.96,2.973765,10294923.0,122548488.0,6058001314.04,2.2526106842651195
2024-01-02,000046.SZ,0.38,0.38,0.38,0.38,34.005673,0.0,0.0,1974556249.28,0.0
2024-01-02,000048.SZ,18.2,18.37,17.7,17.78,9.487912,5946269.0,106578469.0,9433521265.0,1.1364340500067607
2024-01-02,000049.SZ,27.26,27.46,26.66,26.68,9.068783,3742708.9999999995,100381787.0,10262156087.12,0.973403541081524
2024-01-02,000050.SZ,10.65,10.69,10.43,10.43,8.477237,8549898.0,89935604.0,25634308104.23,0.35987536839491957
2024-01-02,000055.SZ,4.53,4.58,4.52,4.55,10.002887,6215354.0,28343119.0,4886127732.849999,0.9196290995971265
2024-01-02,000056.SZ,3.71,3.77,3.68,3.69,4.70837,35102500.0,130336060.0,4465227376.8,3.884185240119767
2024-01-02,000058.SZ,7.17,7.26,7.12,7.2,3.291796,7838033.0,56540616.0,8864644838.4,0.7959886088355437
2024-01-02,000059.SZ,5.49,5.67,5.48,5.61,1.817547,14872254.999999998,83173403.0,8972872632.57,0.9298399070900787
